CO,MSRDT,MSRSTE_NM,NO2,O3,PM10,PM25,SO2
1.1,200901011600,중구,0.008,0.03,38.0,23.0,0.004
1.1,200901011700,중구,0.011,0.029,40.0,18.0,0.004
1.1,200901011800,중구,0.019,0.022,44.0,28.0,0.004
1.1,200901011900,중구,0.024,0.017,42.0,18.0,0.004
1.1,200901012000,중구,0.031,0.011,38.0,26.0,0.004
1.1,200901012100,중구,0.031,0.01,42.0,24.0,0.004
1.2,200901012200,중구,0.041,0.004,47.0,29.0,0.004
1.2,200901012300,중구,0.039,0.004,44.0,22.0,0.004
0.7,200901010000,중랑구,0.03,0.014,38.0,13.0,0.014
0.6,200901010100,중랑구,0.02,0.02,25.0,8.0,0.014
0.6,200901010200,중랑구,0.024,0.017,36.0,26.0,0.008
0.5,200901010300,중랑구,0.02,0.019,30.0,11.0,0.006
0.5,200901010400,중랑구,0.021,0.018,39.0,15.0,0.012
0.5,200901010500,중랑구,0.018,0.02,34.0,19.0,0.011
0.6,200901010600,중랑구,0.022,0.016,35.0,17.0,0.012
0.6,200901010700,중랑구,0.028,0.01,45.0,22.0,0.007
0.7,200901010800,중랑구,0.028,0.01,31.0,23.0,0.008
0.6,200901010900,중랑구,0.025,0.013,43.0,14.0,0.007
0.6,200901011000,중랑구,0.021,0.017,33.0,23.0,0.006
0.6,200901011100,중랑구,0.016,0.022,24.0,10.0,0.009
0.6,200901011200,중랑구,0.014,0.023,27.0,20.0,0.006
0.7,200901011300,중랑구,0.021,0.022,42.0,23.0,0.014
0.8,200901011400,중랑구,0.028,0.018,40.0,15.0,0.01
1.0,200901011500,중랑구,0.027,0.019,37.0,23.0,0.008
0.8,200901011600,중랑구,0.028,0.019,44.0,21.0,0.008
0.8,200901011700,중랑구,0.033,0.014,51.0,18.0,0.012
1.0,200901011800,중랑구,0.045,0.01,56.0,19.0,0.012
0.7,200901011900,중랑구,0.035,0.012,36.0,19.0,0.011
0.9,200901012000,중랑구,0.041,0.008,40.0,10.0,0.008
1.2,200901012100,중랑구,0.054,0.003,39.0,20.0,0.01
1.6,200901012200,중랑구,0.053,0.002,39.0,14.0,0.014
1.8,200901012300,중랑구,0.051,0.002,45.0,21.0,0.008
